Region label,Raw Surface label,Region name,Hemi,Centroid R,Centroid A,Centroid S,DK Region Name,DK Overlap Ratio,AAL Region Name,AAL Overlap Ratio,HarvardOxford Region Name,HarvardOxford Overlap Ratio,MICCAI Region Name,MICCAI Overlap Ratio,BN Region Name,BN Overlap Ratio,Glasser Region Name,Glasser Overlap Ratio,Schaefer200 Region Name,Schaefer200 Overlap Ratio,Schaefer400 Region Name,Schaefer400 Overlap Ratio,Yeo7 Region Name,Yeo7 Overlap Ratio,Yeo17 Region Name,Yeo17 Overlap Ratio
6015,10871284,rh__rostralanteriorcingulate__25,Right,6,34,-8,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.893203883,"Cingulate Gyrus, anterior division_Right",0.466019417,Right_ACgG,0.640776699,R_A14m,0.446601942,R_a24_ROI,0.737864078,7Networks_RH_Default_PFCdPFCm_2,0.757281553,7Networks_RH_Default_PFCdPFCm_1,0.941747573,Right Default,0.961165049,Right Default A,0.961165049
6016,13651225,rh__rostralanteriorcingulate__26,Right,7,41,15,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.919753086,"Cingulate Gyrus, anterior division_Right",0.780864198,Right_ACgG,0.817901235,R_A32sg,0.882716049,R_p24_ROI,0.799382716,7Networks_RH_Default_PFCdPFCm_2,0.74691358,7Networks_RH_Default_PFCdPFCm_3,0.663580247,Right Default,0.962962963,Right Default A,0.962962963
6017,12289412,rh__rostralmiddlefrontal__1,Right,30,47,22,rh_rostralmiddlefrontal,1,Frontal_Mid_R,0.901477833,Frontal Pole_Right,0.960591133,Right_MFG,0.842364532,R_A46,0.916256158,R_9-46d_ROI,1,7Networks_RH_Cont_PFCl_5,0.950738916,7Networks_RH_SalVentAttn_PFCl_1,0.783251232,Right Salience / Ventral Attention,0.615763547,Right Salience / Ventral Attention B,0.950738916
6018,16620124,rh__rostralmiddlefrontal__2,Right,46,41,21,rh_rostralmiddlefrontal,1,Frontal_Mid_R,1,Frontal Pole_Right,1,Right_MFG,0.838709677,R_A9/46v,0.991935484,R_p9-46v_ROI,0.528225806,7Networks_RH_Cont_PFCl_3,0.995967742,7Networks_RH_Cont_PFCl_5,0.983870968,Right Control,1,Right Control A,0.758064516
6019,10341159,rh__rostralmiddlefrontal__3,Right,30,45,32,rh_rostralmiddlefrontal,1,Frontal_Mid_R,0.993902439,Frontal Pole_Right,1,Right_MFG,0.847560976,R_A9/46d,0.963414634,R_9-46d_ROI,1,7Networks_RH_Cont_PFCl_5,0.969512195,7Networks_RH_SalVentAttn_PFCl_1,0.969512195,Right Salience / Ventral Attention,0.93902439,Right Salience / Ventral Attention B,0.969512195
6020,6292433,rh__rostralmiddlefrontal__4,Right,25,60,2,rh_rostralmiddlefrontal,1,Frontal_Sup_R,0.913333333,Frontal Pole_Right,1,Right_SFG,0.773333333,R_A10l,0.54,R_p10p_ROI,1,7Networks_RH_Cont_PFCl_2,0.99,7Networks_RH_Cont_PFCl_3,1,Right Control,1,Right Control B,1
6021,9513604,rh__rostralmiddlefrontal__5,Right,24,27,40,rh_rostralmiddlefrontal,1,Frontal_Mid_R,1,Middle Frontal Gyrus_Right,0.4,Right_SFG,0.454545455,R_A9/46d,0.454545455,R_8Ad_ROI,0.854545455,7Networks_RH_Default_PFCdPFCm_6,0.545454545,7Networks_RH_Default_PFCdPFCm_12,0.472727273,Right Default,0.8,Right Default A,0.8
6022,875351,rh__rostralmiddlefrontal__6,Right,27,62,-13,rh_rostralmiddlefrontal,1,Frontal_Mid_Orb_R,0.843373494,Frontal Pole_Right,1,Right_AOrG,0.542168675,R_A10l,1,R_a10p_ROI,0.873493976,7Networks_RH_Limbic_OFC_3,0.993975904,7Networks_RH_Cont_PFCl_1,1,Right Control,0.56626506,Right Limbic B,0.644578313
6023,8870921,rh__rostralmiddlefrontal__7,Right,33,55,10,rh_rostralmiddlefrontal,1,Frontal_Sup_R,0.585635359,Frontal Pole_Right,1,Right_MFG,0.883977901,R_A46,0.878453039,R_a9-46v_ROI,0.662983425,7Networks_RH_Cont_PFCl_2,0.828729282,7Networks_RH_Cont_PFCl_3,0.828729282,Right Control,1,Right Control B,0.944751381
6024,8699788,rh__rostralmiddlefrontal__8,Right,44,21,38,rh_caudalmiddlefrontal,1,Frontal_Mid_R,0.97810219,Middle Frontal Gyrus_Right,0.97080292,Right_MFG,0.503649635,R_A8vl,0.605839416,R_8C_ROI,1,7Networks_RH_Cont_PFCl_7,0.737226277,7Networks_RH_Cont_PFCl_12,0.722627737,Right Control,0.759124088,Right Control B,0.759124088
6025,1338217,rh__rostralmiddlefrontal__9,Right,51,24,35,rh_rostralmiddlefrontal,1,Frontal_Mid_R,0.696750903,Middle Frontal Gyrus_Right,1,Right_MFG,0.819494585,R_A8vl,0.819494585,R_p9-46v_ROI,1,7Networks_RH_Cont_PFCl_6,0.429602888,7Networks_RH_Cont_PFCl_9,0.682310469,Right Control,0.992779783,Right Control B,0.992779783
6026,5550182,rh__rostralmiddlefrontal__10,Right,14,63,-15,rh_frontalpole,1,Frontal_Sup_Orb_R,0.793577982,Frontal Pole_Right,0.990825688,Right_FRP,0.651376147,R_A11m,0.706422018,R_10pp_ROI,1,7Networks_RH_Limbic_OFC_3,0.981651376,7Networks_RH_Limbic_OFC_6,0.995412844,Right Limbic,0.995412844,Right Limbic B,0.995412844
6027,6150300,rh__rostralmiddlefrontal__11,Right,42,49,-5,rh_rostralmiddlefrontal,1,Frontal_Mid_Orb_R,0.825174825,Frontal Pole_Right,1,Right_MFG,0.552447552,R_A12/47l,0.629370629,R_a47r_ROI,0.629370629,7Networks_RH_Cont_PFCl_1,0.587412587,7Networks_RH_Cont_PFCl_2,0.86013986,Right Control,0.86013986,Right Control B,0.86013986
6028,6002698,rh__rostralmiddlefrontal__12,Right,27,33,33,rh_rostralmiddlefrontal,1,Frontal_Mid_R,0.963636364,Middle Frontal Gyrus_Right,0.436363636,Right_MFG,0.533333333,R_A9/46d,0.939393939,R_46_ROI,0.539393939,7Networks_RH_Default_PFCdPFCm_6,0.854545455,7Networks_RH_Default_PFCdPFCm_10,0.860606061,Right Default,0.606060606,Right Default A,0.606060606
6029,9150266,rh__rostralmiddlefrontal__13,Right,40,28,19,rh_rostralmiddlefrontal,1,Frontal_Mid_R,0.4,Middle Frontal Gyrus_Right,0.316666667,Right_MFG,0.416666667,R_A9/46v,0.85,R_IFSp_ROI,0.866666667,7Networks_RH_Cont_PFCl_4,0.883333333,7Networks_RH_Cont_PFCl_6,0.866666667,Right Control,0.883333333,Right Control A,0.883333333
